timestamp,R_99
1579369284,60.13
1579369285,102.17
1579369286,136.84
1579369287,46.3
1579369288,66.85
1579369289,65.01
1579369290,71.43
1579369291,62.62
1579369292,50.95
1579369293,63.6
1579369294,70.84
1579369295,61.77
1579369296,59.77
1579369297,65.37
1579369298,59.83
1579369299,87.1
1579369300,62.72
1579369301,67.31
1579369302,84.48
1579369303,62.1
1579369304,64.29
1579369305,68.68
1579369306,64.09
1579369307,67.04
1579369308,64.19
1579369309,44.27
1579369310,65.99
1579369311,51.05
1579369312,54.72
1579369313,61.87
1579369314,59.83
1579369315,82.25
1579369316,58.43
1579369317,62.1
1579369318,89.13
1579369319,55.28
1579369320,52.95
1579369321,64.52
1579369322,62.95
1579369323,65.21
1579369324,71.76
1579369325,74.32
1579369326,69.8
1579369327,71.43
1579369328,56.89
1579369329,95.55
1579369330,76.22
1579369331,54.46
1579369332,79.82
1579369333,63.41
1579369334,86.11
1579369335,89.13
1579369336,72.09
1579369337,94.96
1579369338,112.39
1579369339,78.18
1579369340,78.12
1579369341,68.29
1579369342,87.43
1579369343,58.1
1579369344,83.76
1579369345,61.8
1579369346,57.48
1579369347,82.9
1579369348,100.86
1579369349,96.53
1579369350,98.96
1579369351,86.77
1579369352,69.4
1579369353,74.32
1579369354,66.78
1579369355,73.86
1579369356,69.21
1579369357,84.08
1579369358,79.56
1579369359,59.21
1579369360,70.32
1579369361,91.1
1579369362,77.0
1579369363,63.14
1579369364,71.76
1579369365,98.89
1579369366,84.21
1579369367,83.82
1579369368,78.45
1579369369,73.33
1579369370,77.07
1579369371,75.24
1579369372,73.14
1579369373,93.0
1579369374,75.3
1579369375,63.9
1579369376,58.88
1579369377,82.71
1579369378,76.48
1579369379,70.91
1579369380,78.77
1579369381,76.61
1579369382,88.15
1579369383,75.63
1579369384,89.13
1579369385,69.01
1579369386,75.5
1579369387,76.61
1579369388,60.26
1579369389,77.07
1579369390,92.34
1579369391,97.52
1579369392,85.52
1579369393,117.77
1579369394,71.7
1579369395,86.97
1579369396,79.04
1579369397,90.9
1579369398,81.92
1579369399,77.33
1579369400,101.97
1579369401,71.83
1579369402,85.0
1579369403,63.14
1579369404,76.68
1579369405,73.01
1579369406,84.21
1579369407,91.68
1579369408,78.77
1579369409,81.79
1579369410,65.96
1579369411,71.24
1579369412,71.57
1579369413,105.45
1579369414,81.2
1579369415,94.31
1579369416,74.91
1579369417,80.94
1579369418,83.69
1579369419,76.74
1579369420,61.8
1579369421,66.62
1579369422,85.07
1579369423,63.7
1579369424,89.72
1579369425,141.43
1579369426,119.8
1579369427,107.68
1579369428,81.2
1579369429,72.16
1579369430,89.65
1579369431,93.72
1579369432,81.2
1579369433,63.41
1579369434,83.69
1579369435,87.75
1579369436,84.41
1579369437,76.02
1579369438,73.6
1579369439,92.93
1579369440,139.98
1579369441,71.7
1579369442,71.57
1579369443,61.24
1579369444,105.25
1579369445,86.77
1579369446,118.82
1579369447,80.48
1579369448,93.0
1579369449,63.93
1579369450,65.86
1579369451,68.88
1579369452,173.02
1579369453,88.6
1579369454,86.97
1579369455,75.17
1579369456,132.19
1579369457,73.53
1579369458,88.74
1579369459,66.39
1579369460,75.24
1579369461,84.93
1579369462,142.34
1579369463,82.64
1579369464,89.46
1579369465,75.1
1579369466,111.21
1579369467,124.58
1579369468,73.4
1579369469,203.69
1579369470,72.94
1579369471,83.56
1579369472,71.17
1579369473,105.25
1579369474,80.08
1579369475,81.53
1579369476,128.32
1579369477,110.76
1579369478,93.59
1579369479,107.54
1579369480,104.01
1579369481,83.49
1579369482,111.54
1579369483,145.1
1579369484,108.66
1579369485,104.14
1579369486,121.18
1579369487,109.58
1579369488,95.55
1579369489,99.81
1579369490,104.99
1579369491,86.31
1579369492,71.17
1579369493,90.05
1579369494,111.48
1579369495,135.14
1579369496,135.0
1579369497,120.13
1579369498,75.1
1579369499,185.99
1579369500,80.67
1579369501,88.21
1579369502,61.57
1579369503,76.48
1579369504,93.06
1579369505,102.96
1579369506,93.98
1579369507,82.9
1579369508,82.9
1579369509,94.11
1579369510,84.41
1579369511,124.58
1579369512,143.0
1579369513,173.54
1579369514,119.41
1579369515,106.23
1579369516,64.06
1579369517,260.31
1579369518,84.02
1579369519,93.39
1579369520,78.77
1579369521,111.15
1579369522,71.37
1579369523,87.1
1579369524,74.32
1579369525,97.91
1579369526,74.97
1579369527,78.64
1579369528,84.61
1579369529,102.24
1579369530,162.4
1579369531,119.08
1579369532,106.17
1579369533,93.91
1579369534,104.33
1579369535,79.17
1579369536,70.32
1579369537,99.75
1579369538,80.02
1579369539,80.15
1579369540,91.75
1579369541,85.59
1579369542,104.07
1579369543,91.55
1579369544,81.99
1579369545,85.85
1579369546,124.19
1579369547,103.94
1579369548,78.64
1579369549,147.85
1579369550,101.71
1579369551,111.28
1579369552,82.9
1579369553,69.07
1579369554,113.18
1579369555,155.98
1579369556,89.98
1579369557,112.53
1579369558,101.58
1579369559,91.16
1579369560,90.7
1579369561,82.18
1579369562,87.69
1579369563,77.73
1579369564,105.51
1579369565,73.66
1579369566,97.12
1579369567,75.76
1579369568,105.25
1579369569,83.89
1579369570,92.14
1579369571,75.69
1579369572,93.13
1579369573,95.88
1579369574,94.57
1579369575,86.44
1579369576,166.2
1579369577,73.66
1579369578,88.15
1579369579,92.6
1579369580,89.13
1579369581,106.5
1579369582,62.13
1579369583,100.2
1579369584,96.93
1579369585,113.25
1579369586,208.01
1579369587,137.63
1579369588,79.95
1579369589,92.8
1579369590,90.11
1579369591,89.59
1579369592,86.25
1579369593,122.55
1579369594,83.03
1579369595,146.93
1579369596,140.51
1579369597,106.5
1579369598,104.53
1579369599,77.59
1579369600,107.22
1579369601,102.63
1579369602,91.49
1579369603,167.9
1579369604,81.72
1579369605,83.82
1579369606,113.84
1579369607,150.6
1579369608,110.3
1579369609,118.88
1579369610,74.25
1579369611,92.86
1579369612,83.1
1579369613,77.2
1579369614,103.55
1579369615,112.92
1579369616,139.72
1579369617,132.97
1579369618,105.05
1579369619,80.22
1579369620,101.91
1579369621,89.13
1579369622,71.24
1579369623,112.79
1579369624,113.31
1579369625,124.58
1579369626,76.35
1579369627,109.77
1579369628,83.23
1579369629,98.17
1579369630,99.88
1579369631,92.6
1579369632,87.95
1579369633,80.15
1579369634,93.85
1579369635,66.68
1579369636,81.26
1579369637,92.93
1579369638,94.44
1579369639,84.41
1579369640,81.0
1579369641,105.45
1579369642,123.8
1579369643,77.4
1579369644,96.01
1579369645,85.98
1579369646,59.64
1579369647,78.18
1579369648,76.81
1579369649,95.03
1579369650,85.26
1579369651,92.27
1579369652,130.94
1579369653,90.51
1579369654,96.99
1579369655,80.22
1579369656,79.69
1579369657,84.8
1579369658,95.42
1579369659,83.56
1579369660,107.81
1579369661,88.41
1579369662,103.94
1579369663,109.77
1579369664,74.71
1579369665,86.77
1579369666,73.79
1579369667,94.24
1579369668,132.64
1579369669,95.81
1579369670,101.32
1579369671,127.4
1579369672,123.21
1579369673,111.28
1579369674,94.77
1579369675,82.44
1579369676,105.84
1579369677,109.38
1579369678,81.46
1579369679,115.61
1579369680,85.92
1579369681,155.84
1579369682,80.02
1579369683,86.25
1579369684,122.09
1579369685,90.83
1579369686,94.9
1579369687,131.47
1579369688,106.43
1579369689,78.25
1579369690,96.73
1579369691,141.43
1579369692,104.2
1579369693,104.46
1579369694,86.25
1579369695,108.46
1579369696,75.1
1579369697,109.64
1579369698,72.81
1579369699,113.77
